bag,regime,period,phase,outcome,n_meas,meas_err_rms_cm,track_err_rms_cm,vel_ratio,vel_corr,veh_over_dock,gap_frac,max_est_err_cm,n_gaps_gt1s
clamped_static_sway_p10_ph0.0,static,10.0,0.0,DOCKED,207,0.33,3.75,0.0,nan,0.84,0.14,14.7,1
clamped_static_sway_p10_ph2.094,static,10.0,2.094,DOCKED,228,0.93,5.49,0.0,nan,1.06,0.13,20.1,2
clamped_static_sway_p10_ph4.189,static,10.0,4.189,DOCKED,215,0.3,3.69,0.0,nan,0.96,0.09,17.4,1
clamped_static_sway_p12_ph0.0,static,12.0,0.0,DOCKED,317,0.31,7.3,0.0,nan,1.01,0.0,18.8,0
clamped_static_sway_p12_ph2.094,static,12.0,2.094,DOCKED,181,0.24,1.64,0.0,nan,1.06,0.0,4.0,0
clamped_static_sway_p12_ph4.189,static,12.0,4.189,DOCKED,215,0.33,4.77,0.0,nan,1.19,0.2,17.0,2
clamped_static_sway_p16_ph0.0,static,16.0,0.0,DOCKED,238,0.19,3.03,0.0,nan,0.92,0.22,12.9,1
clamped_static_sway_p16_ph2.094,static,16.0,2.094,DOCKED,210,0.74,4.62,0.0,nan,1.07,0.26,18.7,1
clamped_static_sway_p16_ph4.189,static,16.0,4.189,DOCKED,230,0.86,2.05,0.0,nan,0.95,0.0,5.1,0
clamped_static_sway_p20_ph0.0,static,20.0,0.0,DOCKED,234,0.28,2.41,0.0,nan,0.89,0.0,6.0,0
clamped_static_sway_p20_ph2.094,static,20.0,2.094,DOCKED,215,0.25,1.66,0.0,nan,0.79,0.0,4.2,0
clamped_static_sway_p20_ph4.189,static,20.0,4.189,DOCKED,268,0.3,2.33,0.0,nan,0.94,0.08,10.2,1
clamped_static_sway_p6_ph0.0,static,6.0,0.0,DOCKED,243,0.26,6.19,0.0,nan,0.74,0.32,15.6,2
clamped_static_sway_p6_ph2.094,static,6.0,2.094,DOCKED,290,0.84,6.5,0.0,nan,1.01,0.08,19.6,1
clamped_static_sway_p6_ph4.189,static,6.0,4.189,DOCKED,716,0.24,8.66,0.0,nan,0.96,0.08,19.8,5
clamped_static_sway_p8_ph0.0,static,8.0,0.0,DOCKED,204,0.33,3.05,0.0,nan,0.87,0.0,9.5,0
clamped_static_sway_p8_ph2.094,static,8.0,2.094,DOCKED,200,0.19,6.21,0.0,nan,1.29,0.26,19.9,3
clamped_static_sway_p8_ph4.189,static,8.0,4.189,DOCKED,238,0.33,7.97,0.0,nan,0.99,0.1,18.9,1
clamped_sway_sway_p10_ph0.0,sway,10.0,0.0,DOCKED,421,0.16,0.5,1.03,0.96,1.39,0.03,5.4,1
clamped_sway_sway_p10_ph2.094,sway,10.0,2.094,DOCKED,816,0.16,3.58,1.06,0.94,1.46,0.18,61.4,4
clamped_sway_sway_p10_ph4.189,sway,10.0,4.189,DOCKED,452,0.27,0.37,1.05,0.96,1.41,0.01,1.9,0
clamped_sway_sway_p12_ph0.0,sway,12.0,0.0,DOCKED,375,0.24,0.38,1.06,0.94,1.25,0.03,3.3,1
clamped_sway_sway_p12_ph2.094,sway,12.0,2.094,DOCKED,373,0.21,0.51,1.05,0.95,1.11,0.06,3.9,1
clamped_sway_sway_p12_ph4.189,sway,12.0,4.189,DOCKED,399,0.27,0.37,1.05,0.95,1.24,0.0,2.6,0
clamped_sway_sway_p16_ph0.0,sway,16.0,0.0,DOCKED,328,0.25,0.29,1.09,0.94,1.2,0.0,2.3,0
clamped_sway_sway_p16_ph2.094,sway,16.0,2.094,DOCKED,356,0.2,0.59,1.09,0.93,1.23,0.06,5.5,1
clamped_sway_sway_p16_ph4.189,sway,16.0,4.189,DOCKED,373,0.28,0.35,1.12,0.92,1.16,0.0,2.9,0
clamped_sway_sway_p20_ph0.0,sway,20.0,0.0,DOCKED,259,0.2,0.2,1.08,0.94,1.12,0.0,1.3,0
clamped_sway_sway_p20_ph2.094,sway,20.0,2.094,DOCKED,246,0.29,0.3,1.03,0.94,0.97,0.0,2.0,0
clamped_sway_sway_p20_ph4.189,sway,20.0,4.189,DOCKED,274,0.27,0.3,1.17,0.88,1.09,0.0,2.1,0
clamped_sway_sway_p6_ph0.0,sway,6.0,0.0,TIMEOUT,411,0.8,1.01,1.02,0.93,1.71,0.0,6.3,0
clamped_sway_sway_p6_ph2.094,sway,6.0,2.094,TIMEOUT,375,0.2,0.8,0.99,0.92,1.73,0.01,3.8,0
clamped_sway_sway_p6_ph4.189,sway,6.0,4.189,TIMEOUT,484,0.18,1.03,1.02,0.92,1.79,0.03,14.9,1
clamped_sway_sway_p8_ph0.0,sway,8.0,0.0,TIMEOUT,1223,0.54,5.96,1.03,0.93,1.81,0.3,112.2,5
clamped_sway_sway_p8_ph2.094,sway,8.0,2.094,TIMEOUT,716,0.53,2.98,1.03,0.95,1.7,0.07,53.0,1
clamped_sway_sway_p8_ph4.189,sway,8.0,4.189,DOCKED,491,0.22,1.58,1.03,0.95,1.55,0.05,22.0,1
