bag,level,seed,arm,vel_err_rms_m_s,vel_err_slow_rms_m_s,vel_err_fast_rms_m_s,vel_amp_ratio,vel_err_corr_bias,bias_rms_m_s,rel_pos_err_rms_cm,accepted_frac,stale_frac
clamped_sway_sway_p8_ph4.189_20260725_064843,none,0,B,0.017951957809178708,0.013833206686844299,0.009712049316005208,1.0046186541628994,nan,0.0,2.75507514650654,0.9979633401221996,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,none,0,C,0.023668896924935335,0.014099330088979695,0.01744671092995098,1.0562723590545864,nan,0.0,3.1980400116444088,0.9918533604887984,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,none,1,B,0.017951957809178708,0.013833206686844299,0.009712049316005208,1.0046186541628994,nan,0.0,2.75507514650654,0.9979633401221996,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,none,1,C,0.023668896924935335,0.014099330088979695,0.01744671092995098,1.0562723590545864,nan,0.0,3.1980400116444088,0.9918533604887984,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,none,2,B,0.017951957809178708,0.013833206686844299,0.009712049316005208,1.0046186541628994,nan,0.0,2.75507514650654,0.9979633401221996,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,none,2,C,0.023668896924935335,0.014099330088979695,0.01744671092995098,1.0562723590545864,nan,0.0,3.1980400116444088,0.9918533604887984,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,low,0,B,0.04517408028778735,0.02010197512222789,0.039201073556484646,1.1709692834559686,0.23819580544363042,0.006132117299066266,3.8703443205669283,0.9775967413441955,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,low,0,C,0.024792563567705452,0.015654846880610498,0.01746706278054184,1.0444207188158199,0.43397178723256996,0.006132117299066266,3.2040190953098016,0.9918533604887984,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,low,1,B,0.04463097755646936,0.021181910122296508,0.03834335390117742,1.262955921834166,0.2114657287972843,0.008478129584232542,3.8036957535219837,0.9735234215885947,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,low,1,C,0.024905994989586424,0.01635167664117296,0.017173012578548044,1.0565044150953828,0.30137450047418846,0.008478129584232542,3.1960918623044883,0.9918533604887984,0.029083858458555503
clamped_sway_sway_p8_ph4.189_20260725_064843,low,2,B,0.051156303538416305,0.02492007652897474,0.04320933503526381,1.3218252889921644,0.2496455706696418,0.009392826544465709,3.823246305839362,0.9837067209775967,0.029083858458555503
