sigma_a,period,docked,span,n_meas,meas_err_cm,track_err_cm,vel_ratio,vel_corr,veh_over_dock,blackout,max_est_err_cm
0.02,6,False,44.8,414,0.23224968539835716,3.4603563836935165,0.9320182965995895,0.7322936963478539,1.9306753226076343,0.004464285714285698,24.502795960249802
0.02,8,False,62.10000000000001,527,0.19428220673431246,1.3630305092736927,0.9659205816932711,0.8819704960661763,1.6461720807910933,0.008051529790660261,6.435464743155582
0.04,6,False,72.2,492,0.2363048263310896,1.4272353177159276,0.9916076944597668,0.880516206834142,1.9093376902825332,0.02216066481994461,17.106886876005845
0.04,8,True,59.3,460,0.21352679713734932,0.8757843689070536,0.9804567675054863,0.9275300832330258,1.5639578673166665,0.003372681281618939,4.007684113237551
0.08,6,False,73.0,548,1.0986632875060691,0.9294655967997953,0.9992325236117782,0.9228366815955609,1.8206930734862057,0.005479452054794498,3.4220869648355348
0.08,8,False,65.7,519,0.2014041393933131,0.41778030478708017,1.0145346438064988,0.9593480692179596,1.6253910707306432,0.0015220700152207556,2.4529414578401596
